"mileage","price","year","color","condition","state","soundSystem"
55060,28995,2008,"Silver","Used","IN","Harman Kardon"
12556,59999,2013,"Black","Used","TX","Premium"
6,107385,2013,"Silver","New","NY","Premium"
23815,55992,2012,"Black","CPO","MA","unsp"
10817,68482,2013,"Gray","CPO","NC","Premium"
37615,50993,2012,"Silver","CPO","MD","Premium"
14095,59700,2013,"Silver","Used","AL","Premium"
10960,99995,2014,"Silver","Used","TX","Premium"
150,119155,2014,"White","New","CA","Premium"
13013,92991,2014,"Blue","CPO","CA","unsp"
25,116085,2014,"Black","New","IL","Premium"
14,105745,2014,"Black","New","NJ","Premium"
16,120085,2014,"Black","New","KS","unsp"
76537,26995,2007,"Gray","Used","CA","Premium"
50128,42995,2011,"White","Used","CA","Premium"
25082,54986,2012,"unsp","CPO","CA","Premium"
13842,54980,2012,"Gray","Used","CA","Premium"
22134,67670,2012,"Black","CPO","TX","unsp"
91069,26990,2008,"Silver","Used","IN","Harman Kardon"
43767,60890,2011,"Black","CPO","NJ","Harman Kardon"
53505,45500,2010,"Black","Used","CA","Premium"
22833,48755,2012,"Black","Used","IL","Harman Kardon"
26690,40999,2012,"Silver","Used","FL","Premium"
25101,53999,2013,"Black","Used","FL","Premium"
20,102505,2013,"unsp","New","AZ","unsp"
24278,62500,2013,"Black","Used","TN","Harman Kardon"
6,112265,2014,"Black","New","NY","unsp"
53,110460,2014,"White","New","PA","Premium"
451,125175,2014,"White","New","FL","Premium"
1,122815,2014,"Black","New","FL","Premium"
95154,22995,2007,"Silver","Used","LA","Harman Kardon"
67273,23880,2007,"unsp","Used","IL","unsp"
79100,39900,2011,"White","Used","FL","Harman Kardon"
23893,50991,2011,"Black","Used","FL","unsp"
46837,51995,2011,"White","Used","AL","Premium"
34305,55900,2010,"Black","Used","ID","Premium"
27356,52990,2012,"Black","Used","TN","Harman Kardon"
34339,63777,2013,"White","CPO","CA","Harman Kardon"
14963,78361,2013,"Black","CPO","TX","unsp"
12705,69989,2012,"White","Used","CA","Harman Kardon"
58004,35992,2009,"Black","Used","GA","Harman Kardon"
28256,42961,2008,"Blue","Used","MO","Harman Kardon"
32840,43880,2010,"Black","Used","WA","Harman Kardon"
28338,69991,2012,"Silver","CPO","MD","Premium"
9741,72950,2013,"Black","Used","VA","Premium"
15051,76810,2012,"Black","Used","KY","Premium"
31435,59900,2013,"White","CPO","IL","Premium"
5,120650,2014,"Red","New","CA","Premium"
10,130600,2014,"White","New","MD","unsp"
97783,23840,2007,"Black","Used","MD","Harman Kardon"
56700,33900,2007,"Black","Used","FL","Harman Kardon"
118197,28000,2007,"Red","Used","CA","unsp"
114095,19977,2007,"Gray","Used","VA","Premium"
72545,23991,2007,"Silver","Used","CA","Harman Kardon"
38767,45000,2010,"unsp","Used","OK","Premium"
64615,39995,2010,"Silver","CPO","FL","unsp"
38338,55892,2012,"Silver","CPO","CA","Harman Kardon"
27929,57940,2012,"Silver","CPO","FL","unsp"
26409,59850,2012,"Black","Used","FL","unsp"
77753,26989,2007,"Black","Used","NY","Premium"
54961,29950,2009,"Black","Used","NJ","unsp"
46846,47995,2012,"Silver","Used","NY","unsp"
18960,64900,2012,"Black","CPO","NY","unsp"
19501,57890,2012,"White","CPO","OH","Premium"
31484,69999,2012,"White","Used","NY","unsp"
11179,69900,2013,"Black","Used","FL","unsp"
4697,68900,2013,"Black","CPO","NY","unsp"
24,112610,2014,"White","New","FL","unsp"
7361,98991,2014,"Gray","CPO","TX","unsp"
8044,99800,2014,"White","Used","IL","unsp"
96,107380,2014,"White","CPO","NY","Premium"
96677,23995,2007,"Black","Used","OK","unsp"
44787,36888,2009,"Black","Used","CA","Harman Kardon"
51000,34900,2008,"Gray","Used","FL","unsp"
42983,42473,2011,"Black","CPO","TN","Harman Kardon"
33500,56995,2013,"White","Used","TX","Harman Kardon"
61390,28995,2009,"White","Used","NY","Premium"
90651,24995,2007,"White","Used","NJ","Harman Kardon"
106220,21995,2007,"Black","Used","NJ","unsp"
90755,31601,2009,"Black","Used","NJ","Harman Kardon"
65379,35995,2009,"Black","Used","NY","unsp"
55578,42995,2009,"Gray","Used","NJ","unsp"
16679,59998,2011,"White","Used","MA","unsp"
31604,53900,2012,"Black","Used","MD","Harman Kardon"
36572,52950,2012,"Silver","Used","VA","Premium"
5,112315,2014,"Black","New","CA","Premium"
15,104960,2014,"White","New","TX","unsp"
24929,89970,2014,"Black","Used","NY","unsp"
8,127810,2014,"Black","New","OH","Premium"
11,112700,2014,"White","New","NJ","Premium"
2513,94995,2014,"Black","Used","OH","Premium"
10,107165,2014,"Silver","New","FL","unsp"
99978,27998,2008,"Silver","Used","TX","unsp"
66091,26988,2007,"White","Used","TX","unsp"
63238,34988,2008,"Silver","Used","CA","Premium"
92000,25995,2007,"Gray","Used","GA","unsp"
28714,39880,2010,"Black","Used","WA","unsp"
79579,26635,2009,"Bronze","Used","MI","Harman Kardon"
